SVCAREAID,ADDR,WGSXPT,WGSYPT,QTY,UPDTDATE
중랑구,묵1동 178-3 고정)_C-MK01-0058-A,37.6115,127.0796,1.0,2022-12-01
중랑구,묵1동 174-4(고정3)_C-MK01-0035-C,37.6121,127.0786,1.0,2022-12-01
중랑구,묵1동 174-4(고정2)_C-MK01-0035-B,37.6121,127.0786,1.0,2022-12-01
중랑구,묵1동 383(고정1)_C-MK01-0026-A,37.6160,127.0838,1.0,2022-12-01
중랑구,묵1동 174-4(고정1)_C-MK01-0035-A,37.6121,127.0786,1.0,2022-12-01
중랑구,묵1동 174-4 (몽마 빵집)_C-MK01-0035,37.6121,127.0786,1.0,2022-12-01
중랑구,묵1동 172-36(보조3)_C-MK01-0010-3,37.6136,127.0795,1.0,2022-12-01
중랑구,면목3.8동 455-1 (아트블래닛)_C-MM38-0018,37.5834,127.0906,1.0,2022-12-01
중랑구,면목3.8동 455-1(고정1)_C-MM38-0018-A,37.5834,127.0906,1.0,2022-12-01
중랑구,면목3.8동 456-20(고정2)_C-MM38-0036-B,37.5829,127.0900,1.0,2022-12-01
중랑구,면목3.8동 455-1(고정2)_C-MM38-0018-B,37.5834,127.0906,1.0,2022-12-01
중랑구,면목3.8동 453-6(보조)_C-MM38-0042-1,37.5833,127.0917,1.0,2022-12-01
중랑구,면목3.8동 454-37(고정1)_C-MM38-0078-A,37.5824,127.0911,1.0,2022-12-01
중랑구,면목3.8동 454-37(고정2)_C-MM38-0078-B,37.5824,127.0911,1.0,2022-12-01
중랑구,면목3.8동 436-52(고정3)_C-MM38-0012-C,37.5832,127.0924,1.0,2022-12-01
중랑구,면목3.8동 46-33(고정2)_C-MM38-0060-B,37.5895,127.0987,1.0,2022-12-01
중랑구,면목3.8동 454-37(금강타운 빌라 맞은편)_C-MM38-0078,37.5824,127.0911,1.0,2022-12-01
중랑구,면목3.8동 436-52(고정2)_C-MM38-0012-B,37.5832,127.0924,1.0,2022-12-01
중랑구,면목3.8동 433-30(고정3)_C-MM38-0042-C,37.5834,127.0912,1.0,2022-12-01
중랑구,면목3.8동 436-17(고정1)_C-MM38-0058-A,37.5838,127.0924,1.0,2022-12-01
중랑구,면목3.8동 436-17(고정2)_C-MM38-0058-B,37.5838,127.0924,1.0,2022-12-01
중랑구,면목3.8동 433-30(고정2)_C-MM38-0042-B,37.5834,127.0912,1.0,2022-12-01
중랑구,면목3.8동 430-53(고정2)_C-MM38-0057-B,37.5840,127.0901,1.0,2022-12-01
중랑구,면목3.8동 430-53(고정3)_C-MM38-0057-C,37.5840,127.0901,1.0,2022-12-01
중랑구,면목3.8동 436-17(고정3)_C-MM38-0058-C,37.5838,127.0924,1.0,2022-12-01
중랑구,면목3.8동 433-30(고정1)_C-MM38-0042-A,37.5834,127.0912,1.0,2022-12-01
중랑구,면목3.8동 428-12 (대경실내포차앞)_C-MM38-0066,37.5836,127.0889,1.0,2022-12-01
중랑구,면목3.8동 428-12(고정2)_C-MM38-0066-B,37.5836,127.0889,1.0,2022-12-01
