관리번호,위도,경도,지역구
올_17-38,37.532415,126.909213,영등포구
올_17-39,37.532761,126.909037,영등포구
올_17-40,37.533099,126.908805,영등포구
올_17-41,37.533419,126.90856,영등포구
올_17-42,37.533708,126.908321,영등포구
올_17-43,37.534018,126.908038,영등포구
올_17-44,37.534307,126.907742,영등포구
올_17-45,37.534589,126.90744,영등포구
올_17-46,37.534844,126.907144,영등포구
올_17-47,37.535097,126.906783,영등포구
올_17-48,37.535332,126.906405,영등포구
올_17-49,37.535561,126.906012,영등포구
올_17-50,37.53576,126.905646,영등포구
올_17-51,37.535963,126.905274,영등포구
올_17-52,37.536161,126.904919,영등포구
올_17-53,37.536337,126.904589,영등포구
올_18-01,37.530218,126.910211,영등포구
올_18-02,37.53051,126.910117,영등포구
올_18-03,37.53082,126.910033,영등포구
올_18-04,37.531126,126.909936,영등포구
올_18-05,37.531442,126.90985,영등포구
올_18-06,37.531788,126.909712,영등포구
올_18-07,37.532226,126.909519,영등포구
올_18-08,37.532633,126.909317,영등포구
올_18-09,37.533022,126.909069,영등포구
올_18-10,37.533371,126.90883,영등포구
올_18-11,37.533683,126.908581,영등포구
올_18-12,37.534034,126.908282,영등포구
올_18-17,37.531035,126.910114,영등포구
올_18-18,37.531187,126.910201,영등포구
올_18-19,37.531522,126.91007,영등포구
올_18-20,37.531749,126.909968,영등포구
올_18-21,37.532052,126.909771,영등포구
올_18-22,37.532415,126.909595,영등포구
올_18-23,37.532778,126.909502,영등포구
올_18-24,37.533203,126.909253,영등포구
올_18-25,37.533423,126.909086,영등포구
올_18-26,37.533717,126.908893,영등포구
올_18-27,37.533885,126.908635,영등포구
올_18-28,37.53412,126.908378,영등포구
올_18-29,37.53444,126.908075,영등포구
올_18-30,37.534667,126.907708,영등포구
올_18-31,37.534923,126.907418,영등포구
올_18-32,37.535179,126.907055,영등포구
올_18-33,37.535386,126.906746,영등포구
올_18-34,37.535708,126.906446,영등포구
올_18-35,37.533016,126.90939,영등포구
올_18-36,37.533175,126.909561,영등포구
올_18-37,37.533228,126.909832,영등포구
올_18-38,37.533129,126.910138,영등포구
올_18-39,37.532942,126.910277,영등포구
올_18-40,37.53272,126.910288,영등포구
올_18-41,37.53252,126.910182,영등포구
올_18-43,37.53224,126.910384,영등포구
올_18-44,37.532165,126.910556,영등포구
올_18-45,37.53205,126.910688,영등포구
올_18-46,37.531904,126.910765,영등포구
올_18-47,37.531729,126.910767,영등포구
올_18-48,37.531593,126.910677,영등포구
올_18-49,37.531493,126.910513,영등포구
올_18-50,37.531468,126.910303,영등포구
올_18-51,37.532283,126.910666,영등포구
올_18-52,37.532227,126.910836,영등포구
올_18-53,37.53204,126.910997,영등포구
올_18-54,37.531754,126.911126,영등포구
올_18-55,37.531436,126.911239,영등포구
올_18-56,37.531452,126.911093,영등포구
올_18-57,37.531514,126.910903,영등포구
올_18-58,37.531518,126.910693,영등포구
올_18-59,37.533591,126.909931,영등포구
올_18-60,37.533466,126.90955,영등포구
올_18-61,37.531446,126.910479,영등포구
올_20-01,37.523776,126.913363,영등포구
올_20-02,37.52419,126.913088,영등포구
올_20-03,37.524593,126.912809,영등포구
올_20-04,37.52503,126.912516,영등포구
올_20-05,37.525445,126.912224,영등포구
올_20-06,37.525864,126.911938,영등포구
올_20-07,37.526055,126.911816,영등포구
올_20-09,37.523573,126.913294,영등포구
올_20-10,37.523934,126.913051,영등포구
올_20-11,37.524299,126.912805,영등포구
올_20-12,37.52467,126.912547,영등포구
올_20-13,37.525153,126.91222,영등포구
올_20-14,37.525558,126.911956,영등포구
올_20-17,37.523363,126.913128,영등포구
올_20-18,37.52361,126.912967,영등포구
올_20-19,37.523861,126.912792,영등포구
올_20-20,37.524103,126.912612,영등포구
올_20-21,37.524447,126.912395,영등포구
올_20-22,37.524781,126.912158,영등포구
올_20-23,37.52507,126.911959,영등포구
올_20-24,37.525348,126.911761,영등포구
올_20-25,37.525607,126.9116,영등포구
올_20-26,37.525874,126.911432,영등포구
올_20-27,37.523332,126.912767,영등포구
올_20-28,37.52361,126.912619,영등포구
올_20-29,37.523921,126.912448,영등포구
올_20-30,37.524236,126.912234,영등포구
올_20-31,37.524544,126.912029,영등포구
올_20-32,37.524848,126.911816,영등포구
올_20-33,37.525162,126.911608,영등포구
올_20-34,37.525484,126.911392,영등포구
올_20-35,37.525677,126.911267,영등포구
올_20-36,37.525842,126.911166,영등포구
올_20-37,37.526357,126.911623,영등포구
올_20-38,37.52667,126.911448,영등포구
올_20-39,37.526994,126.911276,영등포구
올_20-40,37.527344,126.911126,영등포구
올_20-41,37.527746,126.910976,영등포구
올_20-42,37.528153,126.91088,영등포구
올_20-43,37.528522,126.910776,영등포구
올_20-44,37.526163,126.911524,영등포구
올_20-45,37.526464,126.911366,영등포구
올_20-46,37.526751,126.911197,영등포구
올_20-47,37.527126,126.911031,영등포구
올_20-48,37.527525,126.910865,영등포구
올_20-49,37.527927,126.910712,영등포구
올_20-50,37.52832,126.91058,영등포구
올_20-51,37.528718,126.910473,영등포구
올_20-52,37.526146,126.911269,영등포구
올_20-53,37.526428,126.911145,영등포구
올_20-54,37.526699,126.91105,영등포구
올_20-55,37.52698,126.910957,영등포구
올_20-56,37.527253,126.910877,영등포구
올_20-57,37.526002,126.911088,영등포구
올_20-58,37.526301,126.910941,영등포구
올_20-59,37.526604,126.910777,영등포구
올_20-60,37.52693,126.910624,영등포구
올_20-61,37.527288,126.910674,영등포구
올_20-62,37.527672,126.910567,영등포구
올_20-63,37.528068,126.910453,영등포구
올_20-64,37.528474,126.910329,영등포구
올_20-65,37.528861,126.910194,영등포구
올_20-68,37.528934,126.910663,영등포구
올_20-69,37.529247,126.910564,영등포구
올_20-70,37.529594,126.910465,영등포구
올_20-71,37.529957,126.91039,영등포구
올_20-72,37.530329,126.910322,영등포구
올_20-73,37.530715,126.910259,영등포구
올_20A-01,37.520754,126.915595,영등포구
올_20A-02,37.520522,126.915802,영등포구
올_20A-03,37.520217,126.916061,영등포구
올_20A-04,37.51993,126.916324,영등포구
올_20A-05,37.519638,126.916601,영등포구
올_20A-06,37.519388,126.916897,영등포구
올_20A-07,37.519141,126.917218,영등포구
올_20A-08,37.518906,126.917575,영등포구
올_20A-09,37.520527,126.915564,영등포구
올_20A-10,37.520334,126.915723,영등포구
올_20A-11,37.519991,126.916014,영등포구
올_20A-12,37.519697,126.916303,영등포구
올_20A-13,37.519408,126.916615,영등포구
올_20A-14,37.519142,126.916937,영등포구
올_20A-15,37.518909,126.917276,영등포구
올_20A-16,37.518675,126.917645,영등포구
올_20A-18,37.520264,126.915251,영등포구
올_20A-19,37.51992,126.91549,영등포구
올_20A-20,37.519646,126.915694,영등포구
올_20A-21,37.519408,126.915921,영등포구
올_20A-22,37.51917,126.916171,영등포구
올_20A-23,37.518953,126.916457,영등포구
올_20A-24,37.518769,126.916733,영등포구
올_20A-25,37.518604,126.917015,영등포구
올_20A-26,37.518467,126.917303,영등포구
올_20A-27,37.518339,126.917603,영등포구
올_20A-28,37.520279,126.914975,영등포구
올_20A-29,37.520116,126.915089,영등포구
올_20A-30,37.519937,126.915204,영등포구
올_20A-31,37.519684,126.915389,영등포구
올_20A-32,37.519433,126.915616,영등포구
올_20A-33,37.519192,126.915826,영등포구
올_20A-34,37.518951,126.916096,영등포구
올_20A-35,37.518742,126.916372,영등포구
올_20A-36,37.518544,126.916696,영등포구
올_20A-37,37.518364,126.917023,영등포구
올_20A-38,37.518231,126.917339,영등포구
올_20A-39,37.521073,126.915345,영등포구
올_20A-40,37.521408,126.915077,영등포구
올_20A-41,37.52177,126.9148,영등포구
올_20A-42,37.522145,126.914518,영등포구
올_20A-43,37.522532,126.914231,영등포구
올_20A-44,37.522969,126.913925,영등포구
올_20A-45,37.523362,126.913646,영등포구
올_20A-46,37.520878,126.915271,영등포구
올_20A-47,37.521241,126.914992,영등포구
올_20A-48,37.521618,126.914708,영등포구
올_20A-49,37.521994,126.914415,영등포구
올_20A-50,37.522378,126.914135,영등포구
올_20A-51,37.522819,126.913815,영등포구
올_20A-52,37.523231,126.913543,영등포구
올_20A-53,37.520504,126.915094,영등포구
올_20A-54,37.520804,126.914888,영등포구
올_20A-55,37.521118,126.914673,영등포구
올_20A-56,37.521459,126.91444,영등포구
올_20A-57,37.521798,126.914209,영등포구
올_20A-58,37.522118,126.913988,영등포구
올_20A-59,37.522446,126.913761,영등포구
올_20A-60,37.522769,126.913529,영등포구
올_20A-61,37.52311,126.913303,영등포구
올_20A-62,37.520535,126.914794,영등포구
올_20A-63,37.520861,126.914573,영등포구
올_20A-64,37.521185,126.914348,영등포구
올_20A-65,37.521524,126.914119,영등포구
