연번,시도청,경찰서,치안센터명,주소
106 ,대구청,대구강북,태전치안센터,대구광역시 북구 칠곡중앙대로 274
107 ,대구청,대구군위,소보치안센터,대구광역시 군위군 소보면 송원3길 12(송원리)
108 ,대구청,대구군위,산성치안센터,대구광역시 군위군 산성면 화본2길 3(화본1리)
109 ,대구청,대구군위,삼국유사치안센터,대구광역시 군위군 삼국유사면 삼국유사로 438-7 
110 ,대구청,대구군위,우보치안센터,대구광역시 군위군 우보면 이화길 127 
111 ,인천청,인천중부,도원치안센터,중구 샛골로 52
112 ,인천청,인천중부,대무의치안센터,중구 대무의로 310-11
113 ,인천청,인천중부,승봉치안센터,옹진군 자월면 승봉로 45-15
114 ,인천청,인천중부,대이작치안센터,옹진군 자월면 대이작로 27
115 ,인천청,인천중부,소이작치안센터,옹진군 자월면 소이작로 44
116 ,인천청,인천중부,자월치안센터,옹진군 자월면 자월서로 101번길 164
117 ,인천청,인천중부,장봉치안센터,옹진군 북도면 장봉로 519번길 36
118 ,인천청,인천중부,울도치안센터,옹진군 덕적면 울도로 200
119 ,인천청,인천중부,문갑치안센터,옹진군 덕적면 문갑1길 6
120 ,인천청,인천중부,소연평치안센터,옹진군 연평면 소연평로 19-7
121 ,인천청,인천중부,소청치안센터,옹진군 대청면 소청동로 76번길 21
122 ,인천청,인천미추홀,도화2치안센터,미추홀구 숙골로 43번길 158-29
123 ,인천청,인천미추홀,제물포치안센터,미추홀구 수봉로 14
124 ,인천청,인천미추홀,관교치안센터,미추홀구 인하로 448
125 ,인천청,인천미추홀,주안3치안센터,미추홀구 인하로 196
126 ,인천청,인천남동,구월1치안센터,인천 남동구 용천로 19
127 ,인천청,인천남동,간석1치안센터,인천 남동구 구월로 137번길 39
128 ,인천청,인천남동,간석3치안센터,인천 남동구 백범로 340
129 ,인천청,인천부평,청천1치안센터,부평구 마장로 443
130 ,인천청,인천서부,신현치안센터,서구 가정로 333번길 1
131 ,인천청,인천계양,서운치안센터,계양구 효서로 367
132 ,인천청,인천계양,작전치안센터,계양구 계양대로 33
133 ,인천청,인천계양,효성2치안센터,계양구 마장로 557
134 ,인천청,인천강화,서검치안센터,강화군 삼산면 서검로 156-1
135 ,인천청,인천강화,볼음치안센터,강화군 서도면 볼음도길 224
136 ,인천청,인천연수,연수1치안센터,연수구 먼우금로 289
137 ,인천청,인천논현,만수1치안센터,남동구 만수동965-13
138 ,광주청,광주동부,충장치안센터,광주광역시 동구 충장로 64
139 ,광주청,광주서부,서창치안센터,광주광역시 서구 눌재로 258
140 ,대전청,대전중부,석교치안센터,중구 대종로 192
141 ,대전청,대전동부,홍도치안센터,동구 동산초교로 23번길 41-2
142 ,대전청,대전동부,자양치안센터,동구 동대전로 166
143 ,대전청,대전서부,도마1치안센터,서구 도화공원길 7
144 ,대전청,대전서부,기성치안센터,서구 벌곡로 672
145 ,대전청,대전서부,정림치안센터,서구 정림동로 8-5
146 ,대전청,대전대덕,비래치안센터,대덕구 동서대로 1819
147 ,대전청,대전둔산,월평1치안센터,서구 월평서로 13-1
148 ,대전청,대전유성,어은치안센터,유성구 농대로 20
